Date_: Day: Week,Campaign_,Adset_,Ad_,Spend,Apps,QApps,TI,SA,BST,Cost App,Cost QApp,Cost TI,Cost SA,CAC,%App > QApp,%App > SA,CPC,CPM,%CTR,%Click > App,%App > TI,%App > BST,Impr,Clicks,%Click > App,%App > QApp
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,03_Broad_ImpulsaTuCarrera,03_Image_ImpulsaTuCarrera,6.688731,,,,,,,,,,,,,0.318511,0.35133580208005044,0.0011030570438071226,,,,19038,21,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,04_Broad_UnaClaseTodaEuropa,04_Image_UnaClaseTodaEuropa,6.707869,,,,,,,,,,,,,0.838483625,0.366170042032862,4.3670506031988647E-4,,,,18319,8,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,05_Broad_Testimonial,05_Image_Testimonial,6.60261,,,,,,,,,,,,,0.507893076923077,0.366079507651364,7.207806609004214E-4,,,,18036,13,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,06_Broad_QuieroCambFuturProf,06_Video_QuieroCambFuturProf,6.707869,,,,,,,,,,,,,1.67696725,0.5351738471357906,3.1913196106590075E-4,,,,12534,4,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,07_Broad_EstudiaYTrabaja,07_Video_EstudiaYTrabaja,6.688731000000001,,,,,,,,,,,,,2.2295770000000004,0.5520121317157712,2.475860361475613E-4,,,,12117,3,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,08_Broad_MasterInterviewCY,08_Video_MasterInterviewCY,6.660024,,,,,,,,,,,,,1.3320048,0.5254042284632376,3.9444619753865575E-4,,,,12676,5,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,09_Broad_JuanCualEsSueno,09_Video_JuanCualEsSueno,6.784421,,,,,,,,,,,,,3.3922105,0.5458541314667311,1.6091399147155844E-4,,,,12429,2,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,10_Broad_BestInCode,10_Video_BestInCode,6.707869,,,,,,,,,,,,,,0.514052341175569,,,,,13049,,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,11_Broad_OneClaseInEurope,11_Video_OneClaseInEurope,6.6983,,,,,,,,,,,,,6.6983,0.5329222690747076,7.956082425013923E-5,,,,12569,1,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,12_Broad_MasterMotivaciones,12_Video_MasterMotivaciones,6.765282999999999,,,,,,,,,,,,,2.255094333333333,0.5447087761674717,2.4154589371980676E-4,,,,12420,3,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,13_Broad_MasterF2F,13_Video_MasterF2F,6.6983,,,,,,,,,,,,,1.3396599999999999,0.5564296394749958,4.153513872736335E-4,,,,12038,5,,
2025-05-26,RMTEU_Spain_Global_Meta_Awareness_Omnipresent,14_Broad_ImaginaPredFuturo,14_Video_ImaginaPredFuturo,6.6983,,,,,,,,,,,,,1.3396599999999999,0.5460422271133937,4.0759761962990136E-4,,,,12267,5,,
2025-05-26,RMTEU_Spain_Global_Meta_Leads_LeadGenPersonalityQuiz,01_Prospecting_LLA2_BST,01_Video_Elena,10.210123,,,,,,,,,,,,,0.1791249649122807,2.3783188912182625,0.013277428371767994,,,,4293,57,,
2025-05-26,RMTEU_Spain_Global_Meta_Leads_LeadGenPersonalityQuiz,01_Prospecting_LLA2_BST,02_Video_Animation,0.0,,,,,,,,,,,,,,0.0,,,,,6,,,
2025-05-26,RMTEU_Spain_Global_Meta_Leads_LeadGenPersonalityQuiz,02_Prospecting_Interests,01_Video_Elena,107.48857699999999,,,,,,,,,,,,,0.1687418791208791,1.6483449930992178,0.009768440423247968,,,,65210,637,,
2025-05-26,RMTEU_Spain_Global_Meta_Leads_LeadGenPersonalityQuiz,02_Prospecting_Interests,02_Video_Animation,0.143535,,,,,,,,,,,,,0.143535,2.0505,0.014285714285714285,,,,70,1,,
2025-05-26,RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,09_Prospecting_Interests_ElenaSiEstudiarGrat,11_Video_Elena_SiTrabajarGratis,130.78909199999998,,,,,,,,,,,,,0.3319520101522842,70.96532392837763,0.213781877373847,,,,1843,394,,
2025-05-26,RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,10_Prospecting_LLA2_AnimEstudiaAhora,12_Video_AnimEstudiaAhora,957.3018979999999,6.0,2.0,2.0,1.0,,159.5503163333333,478.65094899999997,478.65094899999997,957.3018979999999,,0.3333333333333333,0.16666666666666666,0.7296508368902439,32.47843589482612,0.044512298558100086,0.004573170731707317,0.3333333333333333,,29475,1312,0.004573170731707317,0.3333333333333333
2025-05-26,RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,11_Broad_ISA_ElenaF2F,13_Video_ISA_ElenaF2F,373.688588,5.0,2.0,2.0,1.0,,74.7377176,186.844294,186.844294,373.688588,,0.4,0.2,1.3588675927272726,9.021282572483885,0.006638823841827004,0.01818181818181818,0.4,,41423,275,0.01818181818181818,0.4
2025-05-26,RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,12_Broad_ISA_Nelson,14_Video_ISA_Nelson,409.974236,1.0,,,,,409.974236,,,,,,,0.6549109201277955,39.17949503058104,0.059824159021406725,0.001597444089456869,,,10464,626,0.001597444089456869,
2025-05-26,RMTEU_Spain_Global_Meta_TypeformQualified_Masters,01_Prospecting_Broad,01_Video_EstudiaYTrabaja,32.103995,,,,,,,,,,,,,1.3958258695652173,3.6652580203219545,0.0026258705331658866,,,,8759,23,,
2025-05-26,RMTEU_Spain_Global_Meta_TypeformQualified_Masters,01_Prospecting_Broad,02_Video_SiQuieresEntrarTech,42.438514999999995,,,,,,,,,,,,,1.3262035937499999,3.3298167908983913,0.0025107885445272656,,,,12745,32,,
2025-05-26,RMTEU_Spain_Global_Meta_TypeformQualified_Masters,01_Prospecting_Broad,03_VideoYoEstudieInformatico,55.423648,,,,,,,,,,,,,0.7806147605633803,2.5484480411991908,0.0032646680154496967,,,,21748,71,,
2025-05-26,RMTEU_Spain_Global_Meta_TypeformQualified_Masters,02_Broad_Master_ElenaF2F,03_Video_Master_ElenaF2F,288.639316,,,,,,,,,,,,,0.6442841875,3.584690958768008,0.005563835072031793,,,,80520,448,,
