"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,Inicio,Fin,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"Coste por Application","All Leads","Coste por All Leads","event registration","Coste por event registration",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Coste por ThruPlay",Objetivo,"Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - All Leads - Image",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_TransformYourCareer,2024-09-30,2023-05-03,"En curso",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_ML,"Data Analysis","DataScience_EN_Prospecting_AllPlacements_Video - Copy",2024-09-30,2024-05-03,2024-05-30,686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Awareness_Omnipresent,07_Broad_LearnByDoing,07_Image_LearnByDoing,2024-09-30,2025-07-01,"En curso","Con el presupuesto del conjunto de anuncios",,1,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_AWARENESS,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Marta_July24,2024-09-30,2024-07-26,"En curso",104,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN_DA,"DA - Web Application",UGC_AllCourses_EN_Prospecting_AllPlacements_ChatGPTShortVersion,2024-09-30,2023-07-13,2023-07-26,100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_DV,"DevOps + Cloud","New Sales Ad - Copy 2",2024-09-30,2024-05-03,2024-05-30,3869,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,Programs,AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner,2024-09-30,2024-03-07,2024-04-07,"Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_EN_CBO,Prospecting_FBAudience_Marie_2410,Video_AllPlacements_Static,2024-09-30,2024-09-11,"En curso","Con el presupuesto del conjunto de anuncios",,54,Diario,70.91,"All Leads",2,35.455,1,70.91,2,35.455,,,4227,4441,26,0.58545373,2.72730769,15.96712452,0.32527523,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Banners","AISchool_Python - Copy",2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_Broad,Video_AllPlacements_Static,2024-09-30,2024-10-07,"En curso",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN_Data,"Prospecting - Data",AverageSalary_DA_EN_Lookalike_AllPlacements_Carousel,2024-09-30,2023-07-11,"En curso",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN,"All Interests - All Leads","BG - Copy 3",2024-09-30,2023-04-09,"En curso",430,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN,"Generic -17.9M",Ad1,2024-09-30,2022-05-01,"En curso","Con el presupuesto del conjunto de anuncios",,32,Diario,0,,,,,,,,,,0,0,,,,,,CONVERSIONS,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"All Interests - LLA - Image",BG_AllCourses_EN_LookalikeAudience_AllPlacements_StaticBanner_TransformYourCareer,2024-09-30,2023-08-28,"En curso",2500,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"JobHunting - Financing + SYLLABUS","BG - Copy 2",2024-09-30,2023-03-30,"En curso",75,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_AIProducts - Copy",2024-09-30,2024-04-29,2024-05-14,"Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_UISkills,2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Banners",AISchool_UISkills,2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Juliette,2024-09-30,2024-06-06,2024-07-31,4657,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,09_Prospecting_LLA_DE,06_Image_DE,2024-09-30,2025-04-21,"En curso","Con el presupuesto del conjunto de anuncios",,75,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_Sep24,Video_AllPlacements_Static,2024-09-30,2024-09-13,"En curso",100,Diario,"Con el presupuesto de la campaña",,52.48,"All Leads",,,,,,,,,7068,7170,10,0.13947001,5.248,7.31938633,0.43371901,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ML,Video_AllPlacements_Static_Charlie_Long,2024-09-30,2024-07-26,"En curso",87,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_CustomList_BST,Video_AllPlacements_Static_Charlie_Long,2024-09-30,2024-06-06,2024-07-31,3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Career Development",AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner,2024-09-30,2024-03-07,2024-04-07,"Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,ML,"AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy 2",2024-09-30,2024-03-08,2024-04-07,"Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Videos",AISchool_Visuals,2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_1Year_EN_ABO_Merge,08_Prospecting_Broad,03_Video_Rika_Oct,2024-09-30,2025-03-11,"En curso","Con el presupuesto del conjunto de anuncios",,169,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Banners",AISchool_UISkills,2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests_LastCall,Video_AllPlacements_Static,2024-09-30,2024-08-29,"En curso",31,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_EN_CBO,Prospecting_FBAudience_Interests_Pau_2408,Video_AllPlacements_Static_Pau,2024-09-30,2024-09-11,"En curso","Con el presupuesto del conjunto de anuncios",,1,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN_Data,RTG,AverageSalary_DA_EN_RTG_AllPlacements_Carousel,2024-09-30,2023-07-11,"En curso",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_AIProducts,2024-09-30,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests,Video_AllPlacements_Static_Juliette,2024-09-30,2024-06-06,2024-07-31,4657,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
RMTEU_Germany_Global_Meta_Conversion_EN,"RTG - All Leads","BG - Copy 2",2024-09-30,2023-01-18,"En curso",120,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-09-30,2024-09-30
