"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"All Leads",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Reproducciones de vídeo",ThruPlays,"Coste por ThruPlay","ThruPlay / Video Plays Conversion Rate","Reproducciones de vídeo de 3 segundos","Coste por reproducción de video de 3 segundos","Reproducciones de vídeo hasta el 50 %","Visitas a la página de destino","Porcentaje de visitas a la página de destino por clics en el enlace","Coste por visita a la página de destino","Landing page views / Link clicks Conversion Rate","Inicio del informe","Fin del informe"
"RMTEU_Spain_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign","RMTEU_Spain_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set",AISchool_Python,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,353,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_EN_ABO_ValueProp_01,01_Prospecting_LLA_DA,05_Image_DA_5Espanol,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,36,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_MKT_EN_CBO,Prospecting_Broad,Video_AllPlacements_Static,"2025-06-16 - 2025-06-22",185,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ML,DataMining,"DataScience_EN_Prospecting_AllPlacements_Video - Copy","2025-06-16 - 2025-06-22",1306,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Retargeting - Banners",AISchool_Python,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_ISA,06_Prospecting_Interests_Interview,01_Video_Interview,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,60,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_UISkills,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"LAA - Banners",AISchool_Python,"2025-06-16 - 2025-06-22",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AI,Ad3,"New Sales Ad","2025-06-16 - 2025-06-22",3120,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Prospecting_ES_ABO,Prospecting_LLA_QApps_1%,Image_AllPlacements_Carrousel,"2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,100,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Leads_EN_UX_ShortCourse,"ProgrammingLanguages + CD&Others","New Sales Ad - Copy","2025-06-16 - 2025-06-22",1500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_AISchool,"Professional Development","AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy 2","2025-06-16 - 2025-06-22","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
RMTEU_Spain_Global_Meta_Conversion_ES,"LLA - All Leads","ISA_AllCourses_ES_LookalikeAudience_AllPlacements_Video - Copy","2025-06-16 - 2025-06-22",44,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-06-16,2025-06-22
